time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,-0.00691539,5.541598135,0,0,0,0,0
0.033333333,-0.006911101,5.541598135,0,0,0,0,0
0.066666667,-0.006906811,5.541598135,0,0,0,0,0
0.1,-0.006902522,5.541598135,0,0,0,0,0
0.133333333,-0.006898232,5.541598135,0,0,0,0,0
0.166666667,-0.006893943,5.541598135,0,0,0,0,0
0.2,-0.006889654,5.541598135,0,0,0,0,0
0.233333333,-0.006885364,5.541598135,0,0,0,0,0
0.266666667,-0.006881075,5.541598135,0,0,0,0,0
0.3,-0.006876787,5.541598135,0,0,0,0,0
0.333333333,-0.006872498,5.541598135,0,0,0,0,0
0.366666667,-0.006868209,5.541598135,0,0,0,0,0
0.4,-0.00686392,5.541598135,0,0,0,0,0
0.433333333,-0.006859632,5.541598135,0,0,0,0,0
0.466666667,-0.006855344,5.541598135,0,0,0,0,0
0.5,-0.006851055,5.541598135,0,0,0,0,0
0.533333333,-0.000644032,5.541598135,0,0,0,0,0
0.566666667,-0.003088558,5.541598135,0,0,0,0,0
0.6,-0.014775072,5.541598135,0,0,0,0,0
0.633333333,-0.014482653,5.541598135,0,0,0,0,0
0.666666667,-0.015513188,5.541598135,0,0,0,0,0
0.7,-0.016766065,5.541598135,0,0,0,0,0
0.733333333,-0.016949563,5.541598135,0,0,0,0,0
0.766666667,-0.015335133,5.541598135,0,0,0,0,0
0.8,-0.013343451,5.541598135,0,0,0,0,0
0.833333333,-0.010737276,5.541598135,0,0,0,0,0
0.866666667,-0.006039873,5.541598135,0,0,0,0,0
0.9,-0.011882557,5.541598135,0,0,0,0,0
0.933333333,-0.01493883,5.541598135,0,0,0,0,0
0.966666667,-0.019789251,5.541598135,0,0,0,0,0
1,-0.022265805,5.541598135,0,0,0,0,0
1.033333333,-0.015227319,5.541598135,0,0,0,0,0
1.066666667,-0.008556115,5.541598135,0,0,0,0,0
1.1,-0.007222037,5.541598135,0,0,0,0,0
1.133333333,-0.02034645,5.541598135,0,0,0,0,0
1.166666667,-0.021668117,5.541598135,0,0,0,0,0
1.2,-0.028993175,5.541598135,0,0,0,0,0
1.233333333,-0.0260854,5.541598135,0,0,0,0,0
1.266666667,-0.018200531,5.541598135,0,0,0,0,0
1.3,-0.025891345,5.541598135,0,0,0,0,0
1.333333333,-0.025764621,5.541598135,0,0,0,0,0
1.366666667,-0.031646241,5.541598135,0,0,0,0,0
1.4,-0.026137712,5.541598135,0,0,0,0,0
1.433333333,-0.020765458,5.541598135,0,0,0,0,0
1.466666667,-0.029028954,5.541598135,0,0,0,0,0
1.5,-0.030386605,5.541598135,0,0,0,0,0
1.533333333,-0.022103862,5.541598135,0,0,0,0,0
1.566666667,-0.036612895,5.541598135,0,0,0,0,0
1.6,-0.045691003,5.541598135,0,0,0,0,0
1.633333333,-0.041481635,5.541598135,0,0,0,0,0
1.666666667,-0.040542331,5.541598135,0,0,0,0,0
1.7,-0.044437823,5.541598135,0,0,0,0,0
1.733333333,-0.031557692,5.541598135,0,0,0,0,0
1.766666667,-0.030448354,5.541598135,0,0,0,0,0
1.8,-0.035613715,5.541598135,0,0,0,0,0
1.833333333,-0.029587623,5.541598135,0,0,0,0,0
1.866666667,-0.014321693,5.541598135,0,0,0,0,0
1.9,-0.006545717,5.541598135,0,0,0,0,0
1.933333333,-0.007632835,5.541598135,0,0,0,0,0
1.966666667,-0.001041553,5.541598135,0,0,0,0,0
2,0.012713456,5.541598135,0,0,0,0,0
2.033333333,0.01413799,5.541598135,0,0,0,0,0
2.066666667,0.015147679,5.541598135,0,0,0,0,0
2.1,0.005673494,5.541598135,0,0,0,0,0
2.133333333,-0.000213289,5.541598135,0,0,0,0,0
2.166666667,0.007706149,5.541598135,0,0,0,0,0
2.2,0.018786046,5.541598135,0,0,0,0,0
