time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,-0.013686557,14.31702155,0,0,0,0,0
0.033333333,-0.013679505,14.31702155,0,0,0,0,0
0.066666667,-0.013672453,14.31702155,0,0,0,0,0
0.1,-0.013665402,14.31702155,0,0,0,0,0
0.133333333,-0.01365835,14.31702155,0,0,0,0,0
0.166666667,-0.013651299,14.31702155,0,0,0,0,0
0.2,-0.013644249,14.31702155,0,0,0,0,0
0.233333333,-0.013637198,14.31702155,0,0,0,0,0
0.266666667,-0.013630148,14.31702155,0,0,0,0,0
0.3,-0.013623098,14.31702155,0,0,0,0,0
0.333333333,-0.013616048,14.31702155,0,0,0,0,0
0.366666667,-0.013608998,14.31702155,0,0,0,0,0
0.4,-0.013601949,14.31702155,0,0,0,0,0
0.433333333,-0.0135949,14.31702155,0,0,0,0,0
0.466666667,-0.013587851,14.31702155,0,0,0,0,0
0.5,-0.013580803,14.31702155,0,0,0,0,0
0.533333333,-0.018366683,14.31702155,0,0,0,0,0
0.566666667,-0.019492461,14.31702155,0,0,0,0,0
0.6,-0.025558971,14.31702155,0,0,0,0,0
0.633333333,-0.023702894,14.31702155,0,0,0,0,0
0.666666667,-0.022300363,14.31702155,0,0,0,0,0
0.7,-0.029915787,14.31702155,0,0,0,0,0
0.733333333,-0.034948975,14.31702155,0,0,0,0,0
0.766666667,-0.032995483,14.31702155,0,0,0,0,0
0.8,-0.038524497,14.31702155,0,0,0,0,0
0.833333333,-0.037681371,14.31702155,0,0,0,0,0
0.866666667,-0.037040421,14.31702155,0,0,0,0,0
0.9,-0.029513874,14.31702155,0,0,0,0,0
0.933333333,-0.030541473,14.31702155,0,0,0,0,0
0.966666667,-0.035463654,14.31702155,0,0,0,0,0
1,-0.04117913,14.31702155,0,0,0,0,0
1.033333333,-0.04623598,14.31702155,0,0,0,0,0
1.066666667,-0.037958331,14.31702155,0,0,0,0,0
1.1,-0.030839965,14.31702155,0,0,0,0,0
1.133333333,-0.035908315,14.31702155,0,0,0,0,0
1.166666667,-0.033555114,14.31702155,0,0,0,0,0
1.2,-0.026833198,14.31702155,0,0,0,0,0
1.233333333,-0.028906433,14.31702155,0,0,0,0,0
1.266666667,-0.021087841,14.31702155,0,0,0,0,0
1.3,-0.025022259,14.31702155,0,0,0,0,0
1.333333333,-0.02677181,14.31702155,0,0,0,0,0
1.366666667,-0.027430281,14.31702155,0,0,0,0,0
1.4,-0.03130126,14.31702155,0,0,0,0,0
1.433333333,-0.024742926,14.31702155,0,0,0,0,0
1.466666667,-0.028867543,14.31702155,0,0,0,0,0
1.5,-0.030117626,14.31702155,0,0,0,0,0
1.533333333,-0.036831449,14.31702155,0,0,0,0,0
1.566666667,-0.032746065,14.31702155,0,0,0,0,0
1.6,-0.030606457,14.31702155,0,0,0,0,0
1.633333333,-0.021629512,14.31702155,0,0,0,0,0
1.666666667,-0.021079943,14.31702155,0,0,0,0,0
1.7,-0.022016912,14.31702155,0,0,0,0,0
1.733333333,-0.0308053,14.31702155,0,0,0,0,0
1.766666667,-0.024816322,14.31702155,0,0,0,0,0
1.8,-0.025264563,14.31702155,0,0,0,0,0
1.833333333,-0.021270557,14.31702155,0,0,0,0,0
1.866666667,-0.022872166,14.31702155,0,0,0,0,0
1.9,-0.019137503,14.31702155,0,0,0,0,0
1.933333333,-0.026056525,14.31702155,0,0,0,0,0
1.966666667,-0.025288654,14.31702155,0,0,0,0,0
2,-0.02903664,14.31702155,0,0,0,0,0
2.033333333,-0.031489745,14.31702155,0,0,0,0,0
2.066666667,-0.028094082,14.31702155,0,0,0,0,0
2.1,-0.025494547,14.31702155,0,0,0,0,0
2.133333333,-0.023507744,14.31702155,0,0,0,0,0
2.166666667,-0.025690053,14.31702155,0,0,0,0,0
2.2,-0.030088909,14.31702155,0,0,0,0,0
2.233333333,-0.030986995,14.31702155,0,0,0,0,0
2.266666667,-0.028356143,14.31702155,0,0,0,0,0
2.3,-0.025674561,14.31702155,0,0,0,0,0
2.333333333,-0.027984064,14.31702155,0,0,0,0,0
2.366666667,-0.021415044,14.31702155,0,0,0,0,0
2.4,-0.025436016,14.31702155,0,0,0,0,0
2.433333333,-0.029320674,14.31702155,0,0,0,0,0
2.466666667,-0.033055667,14.31702155,0,0,0,0,0
2.5,-0.032058397,14.31702155,0,0,0,0,0
2.533333333,-0.041568361,14.31702155,0,0,0,0,0
2.566666667,-0.03877462,14.31702155,0,0,0,0,0
2.6,-0.047566873,14.31702155,0,0,0,0,0
2.633333333,-0.054415436,14.31702155,0,0,0,0,0
2.666666667,-0.050075996,14.31702155,0,0,0,0,0
2.7,-0.047630277,14.31702155,0,0,0,0,0
2.733333333,-0.051142736,14.31702155,0,0,0,0,0
2.766666667,-0.036719533,14.31702155,0,0,0,0,0
2.8,-0.025898902,14.31702155,0,0,0,0,0
2.833333333,-0.020383754,14.31702155,0,0,0,0,0
2.866666667,-0.019448616,14.31702155,0,0,0,0,0
2.9,-0.025300301,14.31702155,0,0,0,0,0
2.933333333,-0.028863309,14.31702155,0,0,0,0,0
2.966666667,-0.030800472,14.31702155,0,0,0,0,0
3,-0.026882223,14.31702155,0,0,0,0,0
3.033333333,-0.032137818,14.31702155,0,0,0,0,0
3.066666667,-0.042872045,14.31702155,0,0,0,0,0
3.1,-0.04676135,14.31702155,0,0,0,0,0
3.133333333,-0.038871189,14.31702155,0,0,0,0,0
3.166666667,-0.039566205,14.31702155,0,0,0,0,0
3.2,-0.043648164,14.31702155,0,0,0,0,0
3.233333333,-0.044045371,14.31702155,0,0,0,0,0
3.266666667,-0.046909526,14.31702155,0,0,0,0,0
3.3,-0.050985241,14.31702155,0,0,0,0,0
3.333333333,-0.05009145,14.31702155,0,0,0,0,0
3.366666667,-0.045776141,14.31702155,0,0,0,0,0
3.4,-0.054634915,14.31702155,0,0,0,0,0
3.433333333,-0.058430905,14.31702155,0,0,0,0,0
3.466666667,-0.066504104,14.31702155,0,0,0,0,0
3.5,-0.062260306,14.31702155,0,0,0,0,0
3.533333333,-0.068647986,14.31702155,0,0,0,0,0
3.566666667,-0.066915466,14.31702155,0,0,0,0,0
3.6,-0.059896321,14.31702155,0,0,0,0,0
3.633333333,-0.058901691,14.31702155,0,0,0,0,0
3.666666667,-0.058521896,14.31702155,0,0,0,0,0
3.7,-0.070366995,14.31702155,0,0,0,0,0
3.733333333,-0.070916599,14.31702155,0,0,0,0,0
3.766666667,-0.062172625,14.31702155,0,0,0,0,0
3.8,-0.060947524,14.31702155,0,0,0,0,0
3.833333333,-0.056834894,14.31702155,0,0,0,0,0
3.866666667,-0.059663107,14.31702155,0,0,0,0,0
3.9,-0.0637929,14.31702155,0,0,0,0,0
3.933333333,-0.06647226,14.31702155,0,0,0,0,0
3.966666667,-0.071355773,14.31702155,0,0,0,0,0
4,-0.06474542,14.31702155,0,0,0,0,0
4.033333333,-0.058194517,14.31702155,0,0,0,0,0
4.066666667,-0.058966175,14.31702155,0,0,0,0,0
4.1,-0.057971053,14.31702155,0,0,0,0,0
4.133333333,-0.059935456,14.31702155,0,0,0,0,0
4.166666667,-0.059720405,14.31702155,0,0,0,0,0
4.2,-0.062151284,14.31702155,0,0,0,0,0
4.233333333,-0.053894578,14.31702155,0,0,0,0,0
4.266666667,-0.047940711,14.31702155,0,0,0,0,0
4.3,-0.046532035,14.31702155,0,0,0,0,0
4.333333333,-0.041649684,14.31702155,0,0,0,0,0
4.366666667,-0.042347555,14.31702155,0,0,0,0,0
4.4,-0.05371393,14.31702155,0,0,0,0,0
4.433333333,-0.048652386,14.31702155,0,0,0,0,0
4.466666667,-0.050832391,14.31702155,0,0,0,0,0
4.5,-0.050958836,14.31702155,0,0,0,0,0
4.533333333,-0.042446814,14.31702155,0,0,0,0,0
4.566666667,-0.038586943,14.31702155,0,0,0,0,0
4.6,-0.045787919,14.31702155,0,0,0,0,0
4.633333333,-0.045122036,14.31702155,0,0,0,0,0
4.666666667,-0.044900181,14.31702155,0,0,0,0,0
4.7,-0.04637722,14.31702155,0,0,0,0,0
4.733333333,-0.04712573,14.31702155,0,0,0,0,0
4.766666667,-0.047457157,14.31702155,0,0,0,0,0
4.8,-0.044695562,14.31702155,0,0,0,0,0
4.833333333,-0.05198498,14.31702155,0,0,0,0,0
4.866666667,-0.05509489,20.49129688,0,0,0,0,0
4.9,-0.053769391,13.01696185,0,0,0,0,0
4.933333333,-0.049534689,13.38059411,0,0,0,0,0
4.966666667,-0.039522666,7.041116003,0,0,0,0,0
5,-0.034194918,21.16842648,0,0,0,0,0
5.033333333,-0.030360034,12.07726235,0,0,0,0,0
5.066666667,-0.047864497,5.151598569,0,0,0,0,0
5.1,-0.050060826,6.63835059,0,0,0,0,0
5.133333333,-0.036014278,2.200155235,0,0,0,0,0
