time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.040420648,5.990152587,0,0,0,0,0
0.033333333,0.040424938,5.990152587,0,0,0,0,0
0.066666667,0.040429228,5.990152587,0,0,0,0,0
0.1,0.040433518,5.990152587,0,0,0,0,0
0.133333333,0.040437807,5.990152587,0,0,0,0,0
0.166666667,0.040442097,5.990152587,0,0,0,0,0
0.2,0.040446386,5.990152587,0,0,0,0,0
0.233333333,0.040450675,5.990152587,0,0,0,0,0
0.266666667,0.040454963,5.990152587,0,0,0,0,0
0.3,0.040459252,5.990152587,0,0,0,0,0
0.333333333,0.040463541,5.990152587,0,0,0,0,0
0.366666667,0.040467829,5.990152587,0,0,0,0,0
0.4,0.040472117,5.990152587,0,0,0,0,0
0.433333333,0.040476405,5.990152587,0,0,0,0,0
0.466666667,0.040480692,5.990152587,0,0,0,0,0
0.5,0.04048498,5.990152587,0,0,0,0,0
0.533333333,0.035751277,5.990152587,0,0,0,0,0
0.566666667,0.03886548,5.990152587,0,0,0,0,0
0.6,0.041594026,5.990152587,0,0,0,0,0
0.633333333,0.044922941,5.990152587,0,0,0,0,0
0.666666667,0.047256288,5.990152587,0,0,0,0,0
0.7,0.045728422,5.990152587,0,0,0,0,0
0.733333333,0.040698241,5.990152587,0,0,0,0,0
0.766666667,0.051082289,5.990152587,0,0,0,0,0
0.8,0.042965912,5.990152587,0,0,0,0,0
0.833333333,0.04117205,5.990152587,0,0,0,0,0
0.866666667,0.045687256,5.990152587,0,0,0,0,0
0.9,0.043746736,5.990152587,0,0,0,0,0
0.933333333,0.037413565,5.990152587,0,0,0,0,0
0.966666667,0.027812603,5.990152587,0,0,0,0,0
1,0.01880408,5.990152587,0,0,0,0,0
1.033333333,0.012483106,5.990152587,0,0,0,0,0
1.066666667,0.010937319,5.990152587,0,0,0,0,0
1.1,0.021462764,5.990152587,0,0,0,0,0
1.133333333,0.02484446,5.990152587,0,0,0,0,0
1.166666667,0.030868006,5.990152587,0,0,0,0,0
1.2,0.03753361,5.990152587,0,0,0,0,0
1.233333333,0.040852523,5.990152587,0,0,0,0,0
1.266666667,0.052852764,5.990152587,0,0,0,0,0
1.3,0.061489403,5.990152587,0,0,0,0,0
1.333333333,0.068180502,5.990152587,0,0,0,0,0
1.366666667,0.076938489,5.990152587,0,0,0,0,0
1.4,0.075795806,5.990152587,0,0,0,0,0
1.433333333,0.091239289,5.990152587,0,0,0,0,0
1.466666667,0.097447541,5.990152587,0,0,0,0,0
1.5,0.104484566,5.990152587,0,0,0,0,0
1.533333333,0.106730648,5.990152587,0,0,0,0,0
1.566666667,0.106980521,5.990152587,0,0,0,0,0
1.6,0.101267687,5.990152587,0,0,0,0,0
1.633333333,0.107285029,5.990152587,0,0,0,0,0
1.666666667,0.110696204,5.990152587,0,0,0,0,0
1.7,0.116526918,5.990152587,0,0,0,0,0
1.733333333,0.117385862,5.990152587,0,0,0,0,0
1.766666667,0.126702639,5.990152587,0,0,0,0,0
1.8,0.136258305,5.990152587,0,0,0,0,0
1.833333333,0.146622782,5.990152587,0,0,0,0,0
1.866666667,0.151843799,5.990152587,0,0,0,0,0
1.9,0.133583676,5.990152587,0,0,0,0,0
1.933333333,0.109282473,5.990152587,0,0,0,0,0
1.966666667,0.082880767,5.990152587,0,0,0,0,0
2,0.053022688,5.990152587,0,0,0,0,0
2.033333333,0.036096403,5.990152587,0,0,0,0,0
2.066666667,0.033946231,5.990152587,0,0,0,0,0
2.1,0.03482486,5.990152587,0,0,0,0,0
2.133333333,0.024963044,5.990152587,0,0,0,0,0
2.166666667,0.015020296,5.990152587,0,0,0,0,0
2.2,0.006530974,5.990152587,0,0,0,0,0
2.233333333,0.005268803,5.990152587,0,0,0,0,0
2.266666667,-0.005938926,5.990152587,0,0,0,0,0
2.3,-0.012942863,5.990152587,0,0,0,0,0
2.333333333,-0.009880434,5.990152587,0,0,0,0,0
2.366666667,-0.00731235,5.990152587,0,0,0,0,0
2.4,-0.015659301,5.990152587,0,0,0,0,0
2.433333333,-0.013046279,5.990152587,0,0,0,0,0
2.466666667,-0.01523218,5.990152587,0,0,0,0,0
2.5,-0.018416418,5.990152587,0,0,0,0,0
2.533333333,-0.022646975,5.990152587,0,0,0,0,0
2.566666667,-0.027340832,5.990152587,0,0,0,0,0
2.6,-0.031848645,5.990152587,0,0,0,0,0
2.633333333,-0.03103988,5.990152587,0,0,0,0,0
2.666666667,-0.031679432,5.990152587,0,0,0,0,0
2.7,-0.02873652,5.990152587,0,0,0,0,0
2.733333333,-0.028043974,5.990152587,0,0,0,0,0
2.766666667,-0.021356464,5.990152587,0,0,0,0,0
2.8,-0.02397824,5.990152587,0,0,0,0,0
2.833333333,-0.033815706,5.990152587,0,0,0,0,0
2.866666667,-0.041544833,5.990152587,0,0,0,0,0
2.9,-0.045049331,5.990152587,0,0,0,0,0
2.933333333,-0.041496057,5.990152587,0,0,0,0,0
2.966666667,-0.033453498,5.990152587,0,0,0,0,0
3,-0.027056513,5.990152587,0,0,0,0,0
3.033333333,-0.027803613,5.990152587,0,0,0,0,0
3.066666667,-0.020484425,5.990152587,0,0,0,0,0
3.1,-0.013635776,5.990152587,0,0,0,0,0
3.133333333,-0.00579828,5.990152587,0,0,0,0,0
3.166666667,-0.006327229,5.990152587,0,0,0,0,0
3.2,-2.84E-05,5.990152587,0,0,0,0,0
3.233333333,0.001766487,5.990152587,0,0,0,0,0
3.266666667,0.005832487,5.990152587,0,0,0,0,0
3.3,0.016435554,5.990152587,0,0,0,0,0
3.333333333,0.014061776,5.990152587,0,0,0,0,0
3.366666667,0.018475709,5.990152587,0,0,0,0,0
3.4,0.014064193,5.990152587,0,0,0,0,0
3.433333333,0.021990105,5.990152587,0,0,0,0,0
3.466666667,0.029125393,5.990152587,0,0,0,0,0
3.5,0.020842053,5.990152587,0,0,0,0,0
3.533333333,0.031440782,5.990152587,0,0,0,0,0
3.566666667,0.031261805,5.990152587,0,0,0,0,0
3.6,0.026910103,5.990152587,0,0,0,0,0
3.633333333,0.034549948,5.990152587,0,0,0,0,0
3.666666667,0.033448973,5.990152587,0,0,0,0,0
3.7,0.027285696,5.990152587,0,0,0,0,0
3.733333333,0.026355753,5.990152587,0,0,0,0,0
3.766666667,0.036950959,5.990152587,0,0,0,0,0
3.8,0.031132644,5.990152587,0,0,0,0,0
3.833333333,0.026171597,5.990152587,0,0,0,0,0
3.866666667,0.033641957,5.990152587,0,0,0,0,0
3.9,0.035622252,5.990152587,0,0,0,0,0
3.933333333,0.043157536,5.990152587,0,0,0,0,0
3.966666667,0.044602282,5.990152587,0,0,0,0,0
4,0.047322163,5.990152587,0,0,0,0,0
4.033333333,0.040143875,5.990152587,0,0,0,0,0
4.066666667,0.036914092,5.990152587,0,0,0,0,0
4.1,0.036568213,5.990152587,0,0,0,0,0
4.133333333,0.026454967,5.990152587,0,0,0,0,0
4.166666667,0.015218019,5.990152587,0,0,0,0,0
4.2,0.020077423,5.990152587,0,0,0,0,0
4.233333333,0.025964821,5.990152587,0,0,0,0,0
4.266666667,0.030399829,5.990152587,0,0,0,0,0
4.3,0.031292403,5.990152587,0,0,0,0,0
4.333333333,0.038753227,5.990152587,0,0,0,0,0
4.366666667,0.033723889,5.990152587,0,0,0,0,0
4.4,0.034523357,5.990152587,0,0,0,0,0
4.433333333,0.042356543,5.990152587,0,0,0,0,0
4.466666667,0.051209272,5.990152587,0,0,0,0,0
4.5,0.055510409,5.990152587,0,0,0,0,0
4.533333333,0.066408766,5.990152587,0,0,0,0,0
4.566666667,0.054511527,5.990152587,0,0,0,0,0
4.6,0.057325917,5.990152587,0,0,0,0,0
4.633333333,0.071086965,5.990152587,0,0,0,0,0
4.666666667,0.068871739,5.990152587,0,0,0,0,0
4.7,0.066498381,5.990152587,0,0,0,0,0
4.733333333,0.068534417,5.990152587,0,0,0,0,0
4.766666667,0.06810597,5.990152587,0,0,0,0,0
4.8,0.072140837,5.990152587,0,0,0,0,0
4.833333333,0.069665588,5.990152587,0,0,0,0,0
4.866666667,0.073671407,5.990152587,0,0,0,0,0
4.9,0.072586278,5.990152587,0,0,0,0,0
4.933333333,0.066894522,5.990152587,0,0,0,0,0
4.966666667,0.061669795,5.990152587,0,0,0,0,0
5,0.061920286,5.990152587,0,0,0,0,0
5.033333333,0.05662685,5.990152587,0,0,0,0,0
5.066666667,0.052888035,5.990152587,0,0,0,0,0
5.1,0.056900329,5.990152587,0,0,0,0,0
5.133333333,0.050220457,5.990152587,0,0,0,0,0
5.166666667,0.049891958,5.990152587,0,0,0,0,0
5.2,0.051504276,5.990152587,0,0,0,0,0
5.233333333,0.047661904,5.990152587,0,0,0,0,0
5.266666667,0.045982759,5.990152587,0,0,0,0,0
5.3,0.049846904,5.990152587,0,0,0,0,0
5.333333333,0.05654036,5.990152587,0,0,0,0,0
5.366666667,0.049607168,5.990152587,0,0,0,0,0
5.4,0.046753553,5.990152587,0,0,0,0,0
5.433333333,0.039761081,5.990152587,0,0,0,0,0
5.466666667,0.02896175,5.990152587,0,0,0,0,0
5.5,0.032392039,5.990152587,0,0,0,0,0
5.533333333,0.035337786,5.990152587,0,0,0,0,0
5.566666667,0.034793509,5.990152587,0,0,0,0,0
5.6,0.030886157,5.990152587,0,0,0,0,0
5.633333333,0.024446202,5.990152587,0,0,0,0,0
5.666666667,0.037291572,5.990152587,0,0,0,0,0
5.7,0.048968998,5.990152587,0,0,0,0,0
5.733333333,0.046483302,5.990152587,0,0,0,0,0
5.766666667,0.05123975,5.990152587,0,0,0,0,0
5.8,0.054027717,5.990152587,0,0,0,0,0
5.833333333,0.063139441,5.990152587,0,0,0,0,0
5.866666667,0.075605648,5.990152587,0,0,0,0,0
5.9,0.079906944,5.990152587,0,0,0,0,0
5.933333333,0.076287933,5.990152587,0,0,0,0,0
5.966666667,0.075284993,5.990152587,0,0,0,0,0
6,0.079879576,5.990152587,0,0,0,0,0
6.033333333,0.077367254,5.990152587,0,0,0,0,0
6.066666667,0.073043876,5.990152587,0,0,0,0,0
6.1,0.06256402,5.990152587,0,0,0,0,0
6.133333333,0.063995471,5.990152587,0,0,0,0,0
6.166666667,0.072319704,5.990152587,0,0,0,0,0
6.2,0.075591914,5.990152587,0,0,0,0,0
6.233333333,0.076794899,5.990152587,0,0,0,0,0
6.266666667,0.074834416,5.990152587,0,0,0,0,0
6.3,0.075711685,5.990152587,0,0,0,0,0
6.333333333,0.071898671,5.990152587,0,0,0,0,0
6.366666667,0.065668813,5.990152587,0,0,0,0,0
6.4,0.061127093,5.990152587,0,0,0,0,0
6.433333333,0.051105562,5.990152587,0,0,0,0,0
6.466666667,0.035726618,5.990152587,0,0,0,0,0
6.5,0.002731105,5.990152587,0,0,0,0,0
6.533333333,-0.017791211,5.990152587,0,0,0,0,0
6.566666667,-0.026246805,5.990152587,0,0,0,0,0
6.6,-0.028398589,5.990152587,0,0,0,0,0
6.633333333,-0.023418651,5.990152587,0,0,0,0,0
6.666666667,-0.028470458,5.990152587,0,0,0,0,0
6.7,-0.03715452,5.990152587,0,0,0,0,0
6.733333333,-0.033411107,5.990152587,0,0,0,0,0
6.766666667,-0.034463482,5.990152587,0,0,0,0,0
6.8,-0.028414029,5.990152587,0,0,0,0,0
6.833333333,-0.014852114,5.990152587,0,0,0,0,0
6.866666667,-0.004358892,5.990152587,0,0,0,0,0
6.9,-0.003933217,5.990152587,0,0,0,0,0
6.933333333,-0.000444605,5.990152587,0,0,0,0,0
6.966666667,0.008803653,5.990152587,0,0,0,0,0
7,0.015863085,5.990152587,0,0,0,0,0
7.033333333,0.018377638,5.990152587,0,0,0,0,0
7.066666667,0.023177747,5.990152587,0,0,0,0,0
7.1,0.023696167,5.990152587,0,0,0,0,0
7.133333333,0.024741459,5.990152587,0,0,0,0,0
7.166666667,0.033215178,5.990152587,0,0,0,0,0
7.2,0.040179308,5.990152587,0,0,0,0,0
7.233333333,0.053161673,5.990152587,0,0,0,0,0
7.266666667,0.056052669,5.990152587,0,0,0,0,0
7.3,0.057516944,5.990152587,0,0,0,0,0
7.333333333,0.06116725,5.990152587,0,0,0,0,0
7.366666667,0.051071078,5.990152587,0,0,0,0,0
7.4,0.058892014,5.990152587,0,0,0,0,0
7.433333333,0.059532562,5.990152587,0,0,0,0,0
7.466666667,0.056391557,5.990152587,0,0,0,0,0
7.5,0.055655209,5.990152587,0,0,0,0,0
7.533333333,0.058998526,5.990152587,0,0,0,0,0
7.566666667,0.064701233,5.990152587,0,0,0,0,0
7.6,0.058829966,5.990152587,0,0,0,0,0
