time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.02789985,6.332503031,0,0,0,0,0
0.033333333,0.02792915,6.332503031,0,0,0,0,0
0.066666667,0.027958451,6.332503031,0,0,0,0,0
0.1,0.027987751,6.332503031,0,0,0,0,0
0.133333333,0.028017052,6.332503031,0,0,0,0,0
0.166666667,0.028046354,6.332503031,0,0,0,0,0
0.2,0.028075655,6.332503031,0,0,0,0,0
0.233333333,0.028104957,6.332503031,0,0,0,0,0
0.266666667,0.028134259,6.332503031,0,0,0,0,0
0.3,0.028163562,6.332503031,0,0,0,0,0
0.333333333,0.028192865,6.332503031,0,0,0,0,0
0.366666667,0.028222168,6.332503031,0,0,0,0,0
0.4,0.028251471,6.332503031,0,0,0,0,0
0.433333333,0.028280775,6.332503031,0,0,0,0,0
0.466666667,0.028310079,6.332503031,0,0,0,0,0
0.5,0.028339384,6.332503031,0,0,0,0,0
0.533333333,0.026545392,6.332503031,0,0,0,0,0
0.566666667,0.027274447,6.332503031,0,0,0,0,0
0.6,0.021528323,6.332503031,0,0,0,0,0
0.633333333,0.017858737,6.332503031,0,0,0,0,0
0.666666667,0.012014541,6.332503031,0,0,0,0,0
0.7,0.013557177,6.332503031,0,0,0,0,0
0.733333333,0.005507094,6.332503031,0,0,0,0,0
0.766666667,-0.001373624,6.332503031,0,0,0,0,0
0.8,-0.001823386,6.332503031,0,0,0,0,0
0.833333333,0.004948832,6.332503031,0,0,0,0,0
0.866666667,0.016545614,6.332503031,0,0,0,0,0
0.9,0.022951319,6.332503031,0,0,0,0,0
0.933333333,0.010770652,6.332503031,0,0,0,0,0
0.966666667,0.018162424,6.332503031,0,0,0,0,0
1,0.013229009,6.332503031,0,0,0,0,0
1.033333333,0.015247661,6.332503031,0,0,0,0,0
1.066666667,0.013312082,6.332503031,0,0,0,0,0
1.1,0.019309839,6.332503031,0,0,0,0,0
1.133333333,0.014158958,6.332503031,0,0,0,0,0
1.166666667,0.005435435,6.332503031,0,0,0,0,0
1.2,-0.003177032,6.332503031,0,0,0,0,0
1.233333333,-0.000377874,6.332503031,0,0,0,0,0
1.266666667,0.010528246,6.332503031,0,0,0,0,0
1.3,0.006039271,6.332503031,0,0,0,0,0
1.333333333,0.003572269,6.332503031,0,0,0,0,0
1.366666667,0.010951402,6.332503031,0,0,0,0,0
1.4,0.008916502,6.332503031,0,0,0,0,0
1.433333333,0.016000401,6.332503031,0,0,0,0,0
1.466666667,0.010215101,6.332503031,0,0,0,0,0
1.5,0.016686135,6.332503031,0,0,0,0,0
1.533333333,0.018871507,6.332503031,0,0,0,0,0
1.566666667,0.014059987,6.332503031,0,0,0,0,0
1.6,0.017668864,6.332503031,0,0,0,0,0
1.633333333,0.017539801,6.332503031,0,0,0,0,0
1.666666667,0.012747577,6.332503031,0,0,0,0,0
1.7,0.019330666,6.332503031,0,0,0,0,0
1.733333333,0.018395518,6.332503031,0,0,0,0,0
1.766666667,0.010324163,6.332503031,0,0,0,0,0
1.8,0.013143733,6.332503031,0,0,0,0,0
1.833333333,0.017890416,6.332503031,0,0,0,0,0
1.866666667,0.009344446,6.332503031,0,0,0,0,0
1.9,0.01062274,6.332503031,0,0,0,0,0
1.933333333,0.017139064,6.332503031,0,0,0,0,0
1.966666667,0.028944445,6.332503031,0,0,0,0,0
2,0.03025331,6.332503031,0,0,0,0,0
2.033333333,0.027587511,6.332503031,0,0,0,0,0
2.066666667,0.027422122,6.332503031,0,0,0,0,0
2.1,0.026619347,6.332503031,0,0,0,0,0
2.133333333,0.018940062,6.332503031,0,0,0,0,0
2.166666667,0.0280793,6.332503031,0,0,0,0,0
2.2,0.03210094,6.332503031,0,0,0,0,0
2.233333333,0.035743974,6.332503031,0,0,0,0,0
2.266666667,0.02400901,6.332503031,0,0,0,0,0
2.3,0.038391248,6.332503031,0,0,0,0,0
2.333333333,0.028876399,6.332503031,0,0,0,0,0
2.366666667,0.046492037,6.332503031,0,0,0,0,0
2.4,0.040941969,6.332503031,0,0,0,0,0
2.433333333,0.042123831,6.332503031,0,0,0,0,0
2.466666667,0.038746608,6.332503031,0,0,0,0,0
2.5,0.025868921,6.332503031,0,0,0,0,0
