time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.155882091,0.012806142,0,0,0,0,0
0.033333333,0.291482001,14.3434009,0,0,0,0,0
0.066666667,0.243693608,43.92365454,0,0,0,0,0
0.1,0.245595037,0.032109167,0,0,1,0,0
0.133333333,0.22676979,21.72977509,0,0,1,0,0
0.166666667,0.245502075,16.50741891,0,0,1,0,0
0.2,0.236676623,0.003786014,0,0,1,0,0
0.233333333,0.227150162,25.81161898,0,0,0,0,0
0.266666667,0.199588518,17.47648089,0,0,0,0,0
0.3,0.195766908,0.017851841,0,0,1,0,0
0.333333333,0.196715364,40.57475803,0,0,1,0,0
0.366666667,0.21528851,12.88059596,0,0,1,0,0
0.4,0.218485205,0.006927036,0,0,1,0,0
0.433333333,0.218266057,22.18238433,0,0,0,0,0
0.466666667,0.210046864,25.93056958,0,0,0,0,0
0.5,0.216661049,0.00030777,0,0,0,0,0
0.533333333,0.220874727,13.64072401,0,0,0,0,0
0.566666667,0.231240366,7.254351718,0,0,0,0,0
0.6,0.229969265,0.008195528,1,0,0,0,0
0.633333333,0.225357723,12.10393068,1,0,0,0,0
0.666666667,0.21403374,6.823519554,1,0,0,0,0
0.7,0.215128571,0.00052353,1,0,0,0,0
0.733333333,0.211560716,13.75580922,1,0,0,0,0
0.766666667,0.198006404,10.271093,1,0,0,0,0
0.8,0.176639802,0.002927822,1,0,0,0,0
0.833333333,0.174444416,1.76470767,1,0,0,0,0
0.866666667,0.179604013,17.86025738,1,0,0,0,0
0.9,0.186072715,0.007592041,1,0,0,0,0
0.933333333,0.182338678,10.09879572,1,0,0,0,0
0.966666667,0.177839715,5.485930444,1,0,0,0,0
1,0.175513367,0.004865353,1,0,0,0,0
1.033333333,0.18691253,3.511407151,1,0,0,0,0
1.066666667,0.197405435,1.236679017,1,0,0,0,0
1.1,0.204010725,0.001223285,1,0,0,0,0
1.133333333,0.196077832,4.662169386,1,0,0,0,0
1.166666667,0.195928876,2.015570786,1,0,0,0,0
1.2,0.206905575,0.014122753,1,0,0,0,0
1.233333333,0.219171225,6.028846191,1,0,0,0,0
1.266666667,0.211926333,4.502642822,1,0,0,0,0
1.3,0.202436226,0.003076325,1,0,0,0,0
1.333333333,0.204568404,55.77177152,0,0,0,0,0
1.366666667,0.218241692,21.45886261,0,0,0,0,0
1.4,0.223891788,0.003014423,0,0,0,0,0
1.433333333,0.219192184,19.25304269,0,0,0,0,0
1.466666667,0.202961176,15.84983573,0,0,0,0,0
1.5,0.193002881,0.002135007,0,0,0,0,0
1.533333333,0.197105866,24.52352238,0,0,0,0,0
1.566666667,0.21402326,3.408744028,0,0,0,0,0
1.6,0.217026554,0.007089994,0,0,0,0,0
1.633333333,0.195185296,11.07085706,0,0,0,0,0
1.666666667,0.165545249,2.678766112,0,0,0,0,0
1.7,0.160996644,2.678766112,0,0,1,0,0
1.733333333,0.168007626,2.678766112,0,0,1,0,0
1.766666667,0.164064123,2.678766112,0,0,1,0,0
1.8,0.148108984,0.090246135,0,0,1,0,0
1.833333333,0.142233364,99.00369171,0,0,0,0,0
1.866666667,0.145860112,17.31043048,0,0,0,0,0
1.9,0.148554439,0.037217068,0,0,1,0,0
1.933333333,0.136628987,40.82797702,0,0,1,0,0
1.966666667,0.117729828,17.2258899,0,0,1,0,0
2,0.102709028,0.149688855,0,0,1,0,0
2.033333333,0.106994682,18.05596596,0,0,1,0,0
2.066666667,0.123579791,37.20022069,0,0,1,0,0
2.1,0.136240357,0.044774828,0,0,1,0,0
2.133333333,0.136136247,14.99095849,0,0,1,0,0
2.166666667,0.138197849,16.28266398,0,0,1,0,0
2.2,0.144284522,0.051509049,0,0,1,0,0
2.233333333,0.150503948,20.19435378,0,0,0,0,0
2.266666667,0.146089639,27.36463353,0,0,0,0,0
2.3,0.135512004,0.100972304,0,0,1,0,0
2.333333333,0.124232834,15.40763909,0,0,1,0,0
2.366666667,0.120825081,24.16364272,0,0,1,0,0
2.4,0.127531181,0.035540991,0,0,1,0,0
2.433333333,0.15003736,8.129459701,0,0,0,0,0
2.466666667,0.168656857,0.752734818,0,0,0,0,0
2.5,0.172633589,0.013667405,0,0,0,0,0
2.533333333,0.16588895,5.705146548,0,0,0,0,0
2.566666667,0.16162902,9.769286784,0,0,0,0,0
2.6,0.15913747,0.016341967,0,0,0,0,0
2.633333333,0.157903529,9.657630046,0,0,0,0,0
2.666666667,0.160703734,18.78077179,0,0,0,0,0
2.7,0.170652497,0.024087727,0,0,0,0,0
2.733333333,0.175413612,24.16452299,0,0,0,0,0
2.766666667,0.170819945,47.20649164,0,0,0,0,0
2.8,0.164594077,0.01474014,0,0,1,0,0
2.833333333,0.167236047,23.29120526,0,0,1,0,0
2.866666667,0.170590058,15.72982589,0,0,1,0,0
2.9,0.170148262,0.00683748,0,0,1,0,0
2.933333333,0.163414444,31.7516128,0,0,1,0,0
2.966666667,0.152629263,27.03348385,0,0,1,0,0
3,0.132659525,0.111106595,0,0,1,0,0
3.033333333,0.120837581,18.6272549,0,0,1,0,0
3.066666667,0.128857337,17.83576462,0,0,1,0,0
3.1,0.142573243,0.115636405,0,0,1,0,0
3.133333333,0.145124371,15.1775502,0,0,1,0,0
3.166666667,0.141784113,30.11968742,0,0,1,0,0
3.2,0.132037721,0.122333778,0,0,1,0,0
3.233333333,0.125118948,11.79244247,0,0,1,0,0
3.266666667,0.129694134,12.01018474,0,0,1,0,0
3.3,0.136197362,0.018100709,0,0,1,0,0
3.333333333,0.129747272,25.79210507,0,0,1,0,0
3.366666667,0.117124765,15.77301445,0,0,1,0,0
3.4,0.102945176,0.0682462,0,0,1,0,0
3.433333333,0.089958519,19.65154345,0,0,1,0,0
3.466666667,0.08375082,13.47979342,0,0,1,0,0
3.5,0.086458051,0.035312426,0,0,1,0,0
3.533333333,0.082864947,22.51689785,0,0,1,0,0
3.566666667,0.076127956,41.73171698,0,0,1,0,0
3.6,0.083459195,0.063630463,0,0,1,0,0
3.633333333,0.108097533,21.26456122,0,0,1,0,0
3.666666667,0.128081341,23.85281756,0,0,1,0,0
3.7,0.131804809,0.073673745,0,0,1,0,0
3.733333333,0.123086937,50.0280942,0,0,1,0,0
3.766666667,0.122829219,25.75624934,0,0,1,0,0
3.8,0.133801228,0.009921225,0,0,1,0,0
3.833333333,0.141270128,24.14163517,0,0,1,0,0
3.866666667,0.136526171,22.98128332,0,0,1,0,0
3.9,0.127040917,0.044799633,0,0,1,0,0
3.933333333,0.117921562,19.62171833,0,0,1,0,0
3.966666667,0.109930504,31.90633484,0,0,1,0,0
4,0.107044898,0.009788063,0,0,1,0,0
4.033333333,0.11445527,4.131715064,0,0,1,0,0
4.066666667,0.123282955,11.80702031,0,0,1,0,0
4.1,0.127801123,0.006280185,0,0,1,0,0
4.133333333,0.124505954,28.2510321,0,0,1,0,0
4.166666667,0.118545215,13.70739373,0,0,1,0,0
4.2,0.111960534,0.01193761,0,0,1,0,0
4.233333333,0.106686291,17.82032627,0,0,1,0,0
4.266666667,0.103098789,20.35318923,0,0,1,0,0
4.3,0.10066805,0.015456255,0,0,1,0,0
4.333333333,0.093358727,25.02028136,0,0,1,0,0
4.366666667,0.082493052,36.70545118,0,0,1,0,0
4.4,0.07399851,0.008300818,0,0,1,0,0
4.433333333,0.069852597,15.45809482,0,0,1,0,0
4.466666667,0.068241981,14.81941468,0,0,1,0,0
4.5,0.066616285,0.015391222,0,0,1,0,0
4.533333333,0.062704136,49.45245477,0,0,1,0,0
4.566666667,0.067653001,15.06721408,0,0,1,0,0
4.6,0.081657728,0.070412599,0,0,1,0,0
4.633333333,0.092527386,8.542758957,0,0,1,0,0
4.666666667,0.087190405,8.947487395,0,0,1,0,0
4.7,0.071241552,0.055704826,0,0,1,0,0
4.733333333,0.060935101,6.474541066,0,0,1,0,0
4.766666667,0.063284881,20.613299,0,0,1,0,0
4.8,0.069416101,0.064054443,0,0,1,0,0
4.833333333,0.077014165,7.09754493,0,0,1,0,0
4.866666667,0.079792639,13.85563847,0,0,1,0,0
4.9,0.076103504,0.044532266,0,0,1,0,0
4.933333333,0.071748229,7.064081775,0,0,1,0,0
4.966666667,0.071905582,10.07994165,0,0,1,0,0
5,0.0728416,0.008933595,0,0,1,0,0
5.033333333,0.07552421,4.275007574,0,0,1,0,0
