time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.009987142,0.118293671,0,0,1,0,0
0.033333333,0.095182182,0.099401534,0,0,1,0,0
0.066666667,0.098590698,0.080509397,0,0,1,0,0
0.1,0.100924996,0.06161726,0,0,1,0,0
0.133333333,0.058961959,1.281469361,0,0,1,0,0
0.166666667,0.033802247,11.36650689,0,0,1,0,0
0.2,0.032545152,0.568306459,0,0,1,0,0
0.233333333,0.06253143,0.474629913,0,0,1,0,0
0.266666667,0.077561673,0.380953367,0,0,1,0,0
0.3,0.071846192,0.287276822,0,0,1,0,0
0.333333333,0.053905985,0.193600276,0,0,1,0,0
0.366666667,0.063268341,0.09992373,0,0,1,0,0
0.4,0.082753043,0.006247184,0,0,1,0,0
0.433333333,0.089467852,2.078035069,0,0,1,0,0
0.466666667,0.073479353,1.378007706,0,0,1,0,0
0.5,0.064082981,0.028106449,0,0,1,0,0
0.533333333,0.059621285,4.468883199,0,0,1,0,0
0.566666667,0.056547131,113.8558947,0,0,1,0,0
0.6,0.063203482,113.8558947,0,0,1,0,0
0.633333333,0.093220194,113.8558947,0,0,1,0,0
0.666666667,0.116826088,113.8558947,0,0,1,0,0
0.7,0.114309412,113.8558947,0,0,1,0,0
0.733333333,0.078563804,113.8558947,0,0,1,0,0
0.766666667,0.044726967,3.080160634,0,0,1,0,0
0.8,0.037861082,135.2572688,0,0,1,0,0
0.833333333,0.052635605,135.2572688,0,0,1,0,0
0.866666667,0.057606443,135.2572688,0,0,1,0,0
0.9,0.049878375,135.2572688,0,0,1,0,0
0.933333333,0.043890669,135.2572688,0,0,1,0,0
0.966666667,0.061370665,135.2572688,0,0,1,0,0
1,0.092893262,0.001395546,0,0,1,0,0
1.033333333,0.107056287,5.955528859,0,0,1,0,0
1.066666667,0.081314854,3.282273262,0,0,1,0,0
1.1,0.050695036,0.361772684,0,0,1,0,0
1.133333333,0.050632731,2.685609549,0,0,1,0,0
1.166666667,0.076217853,2.685609549,0,0,1,0,0
1.2,0.097544325,0.470739277,0,0,1,0,0
